date,rating,review,product
2019-08,4.0,"I enjoy using this shampoo for many reasons. It doesn’t dry out my hair. I have the option to wear my hair wavy without frizz or straight without frizz . My ends feel nice Not super soft but definitely not dry. It’s not that expensive &amp; it’s almost always on sale ! The bigger bottle comes with a pump which is very helpful ! My scalp is usually very oily . Most shampoos just make the oil problem worse this does not. It’s also sold at almost every major store . You can even find it at your local Grocery store which is also helpful if you run out. It doesn’t cause me any back acne . The scent doesn’t bother my allergies where most shampoos do . So it’s great for those many reasons . Overall I would rate this shampoo a 4/5 ! I wouldn’t recommend this for someone with Dry hair because overtime your hair will dry out even more . But, normal to oily hair this a great affordable option ! ",Renewing Argan Oil Morocco Shampoo
2019-08,2.0,The product smells ok but from the first time I used it my scalp itched and burned it just got worse with each use. I had to throw it out after using it 3 times,Renewing Argan Oil Morocco Shampoo
2018-08,4.0,"I wanted to try a shampoo that didn't have sulfates in it, but was also reasonably priced. And I have also liked some OGX products that I've tried in the past, so I picked this. The lather of it is iffy, but I think this shampoo cleanses my hair without stripping it too much. I think I would buy it again, but I'll continue to try other shampoos.",Renewing Argan Oil Morocco Shampoo
2018-08,5.0,"I only tried this range of hair products for the first time this year and have to say it agrees with my hair. My hair is quite dry and many shampoos and leave it feeling even more dry.   

This shampoo smells quite nice, I was initially disappointed to find that the lather texture wasn't that great - I felt as though I was washing my hair with a conditioner.  However, despite this, whenever I use it I find my hair, after washing, feels lovely and always has a good healthy sheen. I have not used another shampoo since. ",Renewing Argan Oil Morocco Shampoo
2018-08,2.0,"This shampoo smells great and left my hair silky and shiny, but also caused a terrible allergic reaction. I have sensitive skin and immediately felt a burning sensation when I used this shampoo and conditioner. I washed them off quickly, but still my lips and face swelled up and I had chapped lips and angry red eczema on my neck, hands, scalp and face for days. I would advise that you stay away from this range if you have sensitive skin. ",Renewing Argan Oil Morocco Shampoo
2018-08,5.0,"My shampoo bottle busted in my suitcase on the road. I bought a 3 ounce travel size for $2.50 at Walgreens. If you buy the full size at $7 for almost 20 ounces, that's not a bad price. 

My hair is recovering from some abuse and gets frizzy and dry. It has also thinned out recently and has lost a lot of it's luster. I need a good moisturizing shampoo that doesn't weigh my hair down, or strip it and can remove build up. It also needs to smell clean and elegant, not like a clown threw up vanilla ice cream on my head.  

This did the job. I got many unusual complements on how shiny and soft my hair was.  The smell is a tad bit sweet, but has a musk to it that makes it nice. The fragrance didn't last past the next morning. It wasn't as moisturizing as my current shampoo, but it gave enough. I had a little bit of trouble getting a lather,  but that could of been the water in the area. The cap kept leaking after it was closed. Travelers hate leaking caps. Or it's just my curse of leaking shampoo.   

Overall,  I've had the same result with other drugstore shampoos, and I don't regret it. I might buy a full size if I want to switch up one day. ",Renewing Argan Oil Morocco Shampoo
2018-08,1.0,The Australian market versions of OGX are like washing your hair in in dish detergent. The conditioners are just as bad.,Renewing Argan Oil Morocco Shampoo
2018-08,4.0,"Hi, this is my first review, anyways, I just washed my hair with the shampoo &amp; conditioner and i’ve got some results...

My hair is very very thin, and gets usually damaged pretty fast. Anyways, I rinsed my hair with water and then I started to use the shampoo. I leaved the shampoo in the hair for 2-3 minutes and I rinsed it out with warm water, and did the same thing again. After the secound wash, I actually realized that my hair got sooo soft! I rinsed the shampoo out of my hair and started with the conditioner. I leaved the conditioner in my hair for 5 minutes and rinsed it also out. My hair got softer and also shinier than usually. 
After, when my got a little bit more dry, I brushed it and I saw wow, my hair is super shiny and so soft!

The smell of the two products are very nice. My skin did react to it good, like it didn’t hurt or something. 
So, I recommend this product! ",Renewing Argan Oil Morocco Shampoo
2017-08,4.0,"This brand used to be my go-to for sulfate free shampoos and conditioners in the drugstore. Once I colored my hair it needed a little more TLC, but if you have healthy hair, this is a great suflate-free option. It also lathers like regular shampoo, which is nice. Sulfate free has come a long way :)",Renewing Argan Oil Morocco Shampoo
2017-08,3.0,"I used this product twise,It couldnot control the frizz but my hair fall became less.my hair a silky and soft and it remained like it was but the smell would vanish I do,nt know if to use it again or not",Renewing Argan Oil Morocco Shampoo
2016-08,2.0,"Meh.  Just OK - bought for about $7 at Target for my 12 year old's long, thick, slightly dry hair.  Not great and not horrible - you MUST use a good conditioner afterward.  We did not like the Argan Conditioner so we tried the Coconut Milk one (not the Coconut Water one) and did not like that either.

So far I am not impressed with Organix.",Renewing Argan Oil Morocco Shampoo
2016-08,5.0,"I bough this shampoo along with the matching conditioner when it was on offer at Superdrug. I wanted to get something similar to my Moroccanoil Repair and I heard good things about this range so I gave it a try. it is a ver dense shampoo to the point that it is tricky to squeeze it out and it has a sort of floral smell, so at the start, I found i a bit weird. You don't need a lot but to spread it all over my scalp I tend to diluite it or it is too buttery. I have been very impressed with the results. My hair is super shiny which I didn't expect, it doesn't  weigh it down at all and feels quite hydrated ( mainly thanks to  the conditioner). Overall, very please with the range.  ",Renewing Argan Oil Morocco Shampoo
2016-08,1.0,"Looking for my receipt so I can return this. I bought it along with a cleansing cream shampoo to alternate with. When I use that cleansing shampoo, my hair feels sooooo good; when I use this shampoo, my hair is left feeling lifeless with a ton of greasy buildup. At first I thought it was because I was washing with warm water that my scalp was producing more oil, but seeing the reviews on here I'm guessing it's just this product that's causing it.",Renewing Argan Oil Morocco Shampoo
2016-08,2.0,"It doesn't clean my fine greasy hair well. The next day after using it my scalp is itchy, my hair is limp. I love Coconut Water from Organix, but Argan oil seems to be to heavy. I'm disappointed.",Renewing Argan Oil Morocco Shampoo
2016-08,1.0,"My hair is straight, with dry ends and prone to greasiness. I think my hair was deydrated because when I have used hair oils it seems to get better - and the ogx spray in oil was amazing.

I tried this as it was half price at Superdrug but it leaves my hair in such a bad state - not only would my hair get greasy faster than normal, but it created extra tangles and static to boot. It almost felt like that desperate time i washed my hair with shower gel (dark times, i try not to think about it), with dry scratchy ends.

My boyfriend thinks its great but its a no go for me im afraid.",Renewing Argan Oil Morocco Shampoo
2016-08,5.0,"This is a good shampoo .  I have been using high end brand names-Redken, Wen, and I am impressed with this.  My hair was not stripped when I washed and the conditioner was good too.  My hair was soft, shiny, and stayed clean for a few days.  I know someone with great hair and the shampoo used to get that gorgeous head of hair that way was Organix Tea Tree Mint.  I will try that one too!",Renewing Argan Oil Morocco Shampoo
2016-08,5.0,"Background: My hair is medium, Asian straight, non-virgin, prone to breakage and tangles and has scratchy split-ends. I've always wanted to try Organix shampoos (especially the Tsubaki one!) and got my hands on a double-sized bottle for $5.

The shampoo is very thick and rich - it's almost like putting a hair masque on but it's shampoo! The smell is very sophisticated too. The first time I rinsed it from my hair, I could noticeably FEEL the tangles being washed out with the product. Lathering up normally puts my hair in knots, but not after using this. It was instantly soft and smooth in the shower. I was hooked from that moment on.

My hair does require conditioner, so I've been pairing this shampoo with my all time holy grail It's A 10 Miracle Leave-In Conditioner and combing out my hair while wet. During the daytime my hair is so friggin' soft, I can't help but twirl it in my fingers all day. It's like touching real silk.

Price-wise, I got it at a good deal. I try not to go overboard with spending serious coin on makeup AND bath goods. This product lives up to its promises though, so I don't mind. 
",Renewing Argan Oil Morocco Shampoo
2016-08,5.0,i think argan oil is amazing and i love using it i mainly got influenced from this great review on the product that i found very helpful and i think you should check it out https://www.mapleholistics.com/products/hair-care/argan-oil-shampoo/,Renewing Argan Oil Morocco Shampoo
2016-08,3.0,"Oily roots dry ends and damaged hair. This shampoo didn't do any good. I use it daily and leaves my hair in a frizzy decent state. Was expecting much more for the price. If you have my type of hair check the catwalk moisturize oatmeal and honey, my hair was really soft back then when I used that stuff.",Renewing Argan Oil Morocco Shampoo
2016-08,5.0,"This shampoo is organic and very healthy for your hair. I was losing my hair and this product saved me. Great shampoo. the after odor is also very refreshing. I highly recommend this argan organic oil shampoo, you can find it in most drug stores over the counter. Totally worth it! time to treat yourself right. Also the price is not bad at all. ",Renewing Argan Oil Morocco Shampoo
2016-08,5.0,i think this is a great shampoo and i love the review. when i was doing research i came across this review that was very helpful for me. check it out https://www.mapleholistics.com/products/hair-care/argan-oil-shampoo/,Renewing Argan Oil Morocco Shampoo
2016-08,4.0,"LoVe.    Smells great.  Thick and rich.  Not watered down.  (Like their conditioner counterpart).  Because it's sulfate free, you pretty much have to shampoo twice, but I don't mind.  Leaves my hair nice.  Price is decent.   Sometimes Ulta runs bogo sales. ",Renewing Argan Oil Morocco Shampoo
2016-08,1.0,"Very 'meh' product, dried out my hair a little. I have oily roots and dry ends; my hair is by default decent though, it's shiny and I don't get any frizz or split ends and even then I don't really like this, it doesn't make my hair soft at all. It definitely costs too much for its quality, there are shampoos that cost way less and do the same or even better. I was looking for a substitute for my eruca shampoo which ran out and I haven't been able to find locally after I moved overseas, unfortunately this isn't it. 

I tried the conditioner too and it didn't condition my hair much, the ends were still dry. The treatment doesn't work that well either. I mean, I have the kind of hair that's okay without conditioner or treatments and even I feel like it's way inadequate. Immediately went back to my herbal essences conditioner, which is much cheaper and WAY better. Luckily I'd only gotten the trial sizes though, would've been such a huge waste of money if I got the full sizes.",Renewing Argan Oil Morocco Shampoo
2016-08,3.0,Such a disappointment for my hair.  Gave it a 3 because it smells really good.  It might be good for those who already have nice hair.,Renewing Argan Oil Morocco Shampoo
2016-08,4.0,"This is a shampoo for people looking for sulphate free, its not incredible but i like how it washes my hair and doesn't strip it. I am half way through the bottle and  its doing me well. ",Renewing Argan Oil Morocco Shampoo
2015-08,4.0,"I am currently using this shampoo.
I read online that it is sulphate free which is very good for our hair.
This shampoo really helps to moisturise my very dry and damaged hair (chemically treated) that i don't even need to use conditioner.
The price is reasonable too.",Renewing Argan Oil Morocco Shampoo
2015-08,5.0,"PROS 
Used with the conditioner it is AMAZING 
Leaves hair feeling SOOO soft 
Smells amazing 

CONS
A bit expensive 
Only sold at some stores 

I definitely will repurchase this again, I’ve already been through 4 bottles. LOVE THIS PRODUCT SOO MUCH, HAS SAVED MY HAIR
",Renewing Argan Oil Morocco Shampoo
2015-08,3.0,"I want to say I love the Organix brand. Their products are sulfate free, paraben free, cruelty free they don't test on animals and their packaging is made out of recycled plastic with that being said I hate giving this a  bad review but I am only talking about my personal experience. I have tried the Organix Brazilain Keratin line then this line.it worked for a few months then it made my hair dry and lifeless. I switched to the Organix coconut milk line and I love it. I think Organix has so many kinds of shampoos that there is something for everyone . I will like to try the other ones but I honestly love the coconut milk one the best. You may have a different reaction with the argan oil shampoo and that is fine I'm just stating my experience .",Renewing Argan Oil Morocco Shampoo
2015-08,4.0,Never thought I'd say this about a drugstore shampoo but I LOVE this shampoo. Cleanses &amp; moisturizes better than some 30$+ shampoos that I have tried! I use this every other time I shampoo ( I have dyed blonde hair so I also wash it with AG Silver) with it;s matching conditioner. Love love love. And it goes on sale at shoppers all the time which is great! ,Renewing Argan Oil Morocco Shampoo
2015-08,4.0,"I have been using this product for about 2 months now.  I will start with pros/cons, then give my overall review.

Pros:
It washes well without leaving any build-up
Rinses clean
The smell is nice and not overpowering 
Left hair soft, silky and no tangles
Easy to locate in stores

Cons:
Price of bottle is high for amount of product
Bottle is a solid color, so you can't keep track of product usage

Overall Rating:
This was a recommendation to take care of my weave extensions.  I am currently wearing Brazilian Body Wave texture.  I will say that I like the way that the product works.  It washes very well with a nice shine and doesn't leave my extensions matted up.  As I said above, the price is a tad too high for the amount of product in the bottle.  

Would I recommend?  Yes.",Renewing Argan Oil Morocco Shampoo
2015-08,3.0,"After trying the OGX keratin shampoo and conditioner (in the pink bottle) I thought I would give this one a go. At first I loved it, it made my hair soft and shiny, which it promises to do. After a few washes using it, I noticed my hair was extremely dry and got greasy way too quick, causing me to have to wash my hair every 2 days, which made it even more dry. I switched back to the keratin one and my problem is gone. If you're not a fan of this, try the keratin one, which also has argan in it, and I love it. ",Renewing Argan Oil Morocco Shampoo
2015-08,2.0,"So here's the thing: this product is great on my daughter's thick coarse curly hair. But it's horrible on my smooth thick straight hair. Either that or it just hates my scalp. The day after washing, it turns my scalp into an oily mess!!!",Renewing Argan Oil Morocco Shampoo
2015-08,2.0,"The consistency of this shampoo is goopy.  While it does not contain sulfates, it contains Sodium C14-16 olefin sulfonate which is a harsh detergent and silicones. I just do not like the way my hair feels after washing with this. When my hair dries, it is limp and lifeless. ",Renewing Argan Oil Morocco Shampoo
2015-08,3.0,"I love the Organix range, the Hydrating macadamia oil mask being my HG product, curl cream amazing and Kukui Oil defrzzing scary works wonders too so I thought I would try the Renewing Moroccan Argan Oil shampoo &amp; Conditioner, for a girl with super tight and long 3C curls I need the hydration and argan oil is awesome for that! The packeting is super cute, bright  and easy to get the desired amount which I is always a plus. 
I went into the chemist and saw a jumbo bottle just for $12AUD which is crazy here in Aus, so I brought it excited to use it.
When I washed my hair the shampoo tried my hair out which is normal, then I conditioned left it in for 5-7 mins which I do with all my conditioners my hair felt soft but nothing amazing, so I thought I will just let my hair dry as I normally do, as I blew dried my hair as usual, using the same products my hair was flat! No volume! No frizz! My curls were loose! I was shocked! I was so confused how a shampoo and conditioner could do that. But I work in a chemist were we sell these products and straight haired ladies swear by this product 
I would recommend this product if you don't want frizz, this defiantly works for frizz.

I have given this product another go and I let my hair air dry instead and my hair dried like 2C curls!
",Renewing Argan Oil Morocco Shampoo
2015-08,2.0,"I got sucked in by advertising, again. 

It's kind of okay, I guess. I don't feel like it's any better than any other shampoo I've used, but it's so much more expensive. The formula is weird and goopy and I find it hard to get it to lather up. Wouldn't repurchase. ",Renewing Argan Oil Morocco Shampoo
2015-08,5.0,I don't get the bad reviews.. I used this shampoo and conditioner last night and this morning my hair is so fluffy and clean feeling. Really soft and bouncy! The shampoo lathered A TON and the conditioner has a lot of slip. The smell is awesome! &amp; they were b1g1 at rite aid so I only paid $8 for both! Good deal and a good product. I would repurchase :),Renewing Argan Oil Morocco Shampoo
2015-08,1.0,"This left my hair dry, frizzy, hard to style and in tangles. It didn't lather very well and was very drying to my scalp and the ends of my hair especially to the point that I couldn't brush it out with a wide tooth comb. It was horrible and was very pricey. I liked the smell and the packaging but the overall product is horrible. Threw it out and never looked back.",Renewing Argan Oil Morocco Shampoo
2015-08,1.0,"Nothing special about this shampoo at all!! Smell isn't great. Dries my ends.
I like when a shampoo leaves a pleasant hair smell. This shampoo and conditioner does not!",Renewing Argan Oil Morocco Shampoo
2015-08,1.0,"This is probably one of the worst shampoos I've ever used. There is nothing organic about it, but that's not the only issue I have with this shampoo. It could tell just by the way it lathered it'd be drying. It has a glue-like consistency and took a while to rinse out fully. It left my hair a tangly, dry, and frizzy mess. After one use I knew I wouldn't use this shampoo again. I bought the conditioner as well, but I was so upset with the results from the shampoo I didn't even want to try it. Thankfully I got the travel sizes from Ulta. Please get the travel size first if you must try this. ",Renewing Argan Oil Morocco Shampoo
2015-08,2.0,"This shampoo ruined my hair!!! It left my hair feeling dry and damaged, irritated my scalp just after the first use. Thrown it away and trying to get my hair back to a healthy condition ",Renewing Argan Oil Morocco Shampoo
2014-08,3.0,"I don't hate this stuff, but by no means do I love it.

The odd texture of the products gets me every time. It's slime-like and gunky. It does lather up well and has a pleasant texture.  The problem for me is that my hair feels dry after I rinse this shampoo from my hair. I love the way argan oil makes my hair feel, but honestly I could not detect it in this shampoo, at all.

My usually greasy hair does feel soft and nourished after using this shampoo (with the matching conditioner) but it usually only lasts for less then a day.. by the second day, all softness is lost. 

I wouldn't buy this again.

",Renewing Argan Oil Morocco Shampoo
2014-08,3.0,"I used to love this stuff. Recently, however, I haven't. It dries out my hair and the moisture it does give, only last for a few hours. I just don't like it like I used to.",Renewing Argan Oil Morocco Shampoo
2014-08,2.0,I'm sure there's some benefit to this new argan oil craze...I'm sure it's great for your hair. But everything that has argan oil in it smells awful to me...it smells like an old man's stinky cologne. I used this a couple of times and tried to like it but the smell lingers in my hair forever and made me nauseous. I work at a nursing home so I gave it to one of my patients.,Renewing Argan Oil Morocco Shampoo
2014-08,5.0,Im so surprised this shampoo's rate is low.. This is the only shampoo that made my frizzy hair soft and easy to manage... ,Renewing Argan Oil Morocco Shampoo
2014-08,3.0,"I got the 50% more bonus bottle (19.5 fl oz) of this + the conditioner from a local supermarket for $5.99 each. My friends looooooove this stuff and I was curious to try it out. It's much thicker and more gelatinous than any shampoo that I've ever used before; maybe this consistency is why it doesn't lather nearly as much as other shampoos. It's lightly perfumed and it smells WONDERFUL. 

The product promises a sleek, sexy shine. I have rough, dry hair and it made almost no difference other than cleaning it. I used both the shampoo and conditioner from this line for about 2 weeks straight and I can say that my hair is in the same condition it was before I started using this line. 

It's mediocre and not THAT great, but it does its job as a shampoo. It didn't make my hair shinier or sleek like it said it would. I bought it on impulse and because it was 50% more than the usual bottle. I may buy it again, but there's better shampoos for the price, considering that one normal sized bottle is pretty small and quite pricey at almost $6. ",Renewing Argan Oil Morocco Shampoo
2014-08,2.0,This dried my hair out and tangled it up so bad. It smells great and I was excited to use it because actual argan oil was nice on my hair and skin but for some reason this just mummified my hair.,Renewing Argan Oil Morocco Shampoo
2014-08,2.0,"UPDATE: WTH? Why would they re-formulate with non-natural ingredients inc. dimethicone?  Cost, perhaps?  Or maybe complaints from people saying they couldn't get a lather, it was drying etc.  Just re-purchased then noticed the ingredients list has changed.  I loved using this shampoo in my rotation but my love affair only lasted one bottle.  Oh well.  I'm returning it to Boots as their website shows the old ingredients list and I obv. won't re-purchase unless I can find some 'old' bottles on Ebay.  NOW I understand some of the negative reviews. ORIGINAL REVIEW: Considering Argan oil is fairly high up on the ingredients list (as well as other natural oils) this is a reasonably-priced shampoo.  I'm stunned at the negative reviews on this shampoo as I've had such a  positive experience with it SO FAR(!) but I wonder if they're mostly from people whose hair is very dry already as more natural shampoos won't usually do your hair any favours when it comes to moisture.  Even though this one is supposed to give you moisture it probably wouldn't give enough for those hair types.  Anyhow, despite being a regular 'oiler' (mostly for hair growth) recently I've been finding I need a slightly more moisturising shampoo than I'm used to in order to avoid tangles as I grow my hair longer.  Nothing too conditioning, just a natural-ish shampoo that won't leave my hair squeaky clean, just clean.  I have coloured, fine, bra strap length hair with a slight wave and I normally do well with mild, natural shampoos.  I don't want SLS or anything else colour-stripping, or dimethicone (it contains dimethicone copolyol, a water-soluble silicone-derivative) and I don't mind a slight lack of lather which you expect when you leave out SLS.  It's early days but this seems to fit the bill.  I don't use the matching conditioner as I'm happy with my current ones.  I'm not sure I'd want to use this one every time I wash as I think I would soon get buildup at my oily roots, but as it doesn't make my fine hair a stringy mess or overload it, I'm pleased. BTW the texture really reminds me of Faith in Nature Jojoba shampoo (for dry hair).  I gave up on that really quickly about a year ago as I don't think I understood you have to emulsify it with water in your hand to get a lather before working it into your hair.  I might give it another try if I can't find the old formula for this shampoo.",Renewing Argan Oil Morocco Shampoo
2014-08,5.0,"Ive been using this for 2 years since garnier fructis changed their triple nutrition line changed and i LOVE this shampoo and conditioner. The conditioner is amazing, however the shampoo can be a bit stripping but i find that the conditioner fixes the problem. I use the conditioner to co wash in the winter and i love it. I wear weaves and braids and it works amazing with them as well. I do want to try a new shampoo because its expensive but i always seem to go back to them. I thought i had 4c hair because in the beginning of my transition, my hair was unmanageable but after i started using silicon mix and castor oil my hair is more of a 4a/4b. I bleached my hair and this condition seems to be the only thing that works to keep it healthy.

I LOVEEEE ITTTT. i have to say i have noticed a slight change from when i started using it to now but i still love it. Ive tried other organix (coconut, regular argon oil, shea butter) and my hair felt like straw afterwards so idk what it is about this one but i love it",Renewing Argan Oil Morocco Shampoo
2014-08,3.0,"Personally, I would only use this product again if I had ran out of a better shampoo. It does a good job of cleaning my hair and lathers well but doesn't make my hair feel soft at all. In fact, I can feel my hair drying out as my hair gets cleaner. The texture of the shampoo is very silky and thick, which feels lovely as I put it on my hair. It has a nice smell but doesn't last long after it has been rinsed out. I have 4c coarse hair. Tbh the conditioner is a bit better than the shampoo. For the price, I think Organix could have done a lot better. ",Renewing Argan Oil Morocco Shampoo
2014-08,2.0,"There doesn't seem to be much oil in this at all! Unlike the elvive one this is awful, it makes my hair frizzy and the only thing good about it is that it smells good",Renewing Argan Oil Morocco Shampoo
2014-08,5.0,"Makes my hair so so so soft, absolutely love it",Renewing Argan Oil Morocco Shampoo
2014-08,1.0,"This is probably the worst shampoo and conditioner I have ever used.

I have really long (Hip length) hair that tends to be naturally wavy or slightly curly, so of course I need as much hydration as possible to maintain it.  And up until using this shampoo and conditioner I have done really well.  My hair is always shiny and soft and if I have curls they are bouncy and soft.   

However, I bought Organix Renewing Argan Oil of Morocco and after using it once, I thought it would be a good buy.  At first use it makes the hair feel very thick and it lathers up into a dream.  The conditioner was thick and also made my hair feel really moisturized and thick. ....in the shower.   But as soon as I rinsed I noticed a big change in my hair.  It felt rough and brittle.  I got out of the shower and let it dry and immediately noticed it was frizzy with almost no shine and it was a big tangled mess. 

The next day I did the exact same thing except I blow dried.  It was a little more manageable but still frizzy and dry and brittle with almost no shine.  I bought the larger bottle of the conditioner and shampoo and I will not be finishing using either of them because even though this shampoo and conditioner was a little more pricey than what I normally buy, it is not worth ruining my hair. I have since purchased my usual, Tresemme, and noticed after only ONE use that my hair was feeling better than after a whole week of using the Moroccan Oil shampoo from Organix..  

Don't let the whole &quot;Moroccan Oil&quot; and &quot;Organic&quot; thing fool you.  This product is a big waste of money and will torture your hair. ",Renewing Argan Oil Morocco Shampoo
2014-08,5.0,I love this product. It has my hair silky and frizz free. i dont need any additional products to tame my hair as this works well on its own. ,Renewing Argan Oil Morocco Shampoo
2014-08,2.0,"Thank goodness I bought only a couple of the trave sized bottles. It felt very drying on my hair and made my hair tangled. It doesn't lather that well either so I'm surprised it would be so stripping. It does have a nice scent and left my hair shiny, but that is pretty much it. I am very disappointed as I have had luck with other Organix shampoos in the past. My favorite is the Macadamia one in the brown bottle. I will probable reserve the remaining bottles for when I need to clarify or pass them on to family members. Back to the drawing board.",Renewing Argan Oil Morocco Shampoo
